scientificname;longitude;latitude
Ocotea porosa;-49.1463889;-25.2980555
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-50.0052778;-25.2536111
Ocotea porosa;-49.1463889;-25.2980555
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-49.2388889;-25.4419444
Ocotea porosa;-49.5;-25.38
Plinia cordifolia;-48.8802778;-25.9325
Plinia hatschbachii;-48.7169445;-24.8602778
Eryngium ombrophilum;-50.57916667;-25.02361111
Lupinus gibertianus;-49.4;-25.583333
Mimosa urticaria;-51.038203;-24.112602
Begonia olsoniae;-48.656111;-25.573694
Begonia olsoniae;-48.656111;-25.57375
Begonia stenolepis;-50.696417;-24.062944
Oxalis paranaensis;;-25.573667
Acianthera langeana;-49.282;-25.661
Alcantarea imperialis;-49.253;-25.450278
Alstroemeria amabilis;-48.816667;-25.25
Araucaria angustifolia;-49.287778;-26.658333
Aspidosperma parvifolium;-49.253;-25.450278
Aspidosperma parvifolium;-49.253;-25.450278
Aspidosperma parvifolium;-49.253;-25.450278
Baccharis aracatubensis;-48.982222;-25.515278
Baccharis aracatubensis;-48.982222;-25.515278
Baccharis aracatubensis;-48.982222;-25.515278
Byrsonima brachybotrya;-49.640306;-15.483889
Castela tweedii;-49.695278;-25.781389
Cattleya guttata;-48.561;-25.593
Cedrela fissilis;-52.460833;-24.520556
Cedrela odorata;-48.889222;-25.370833
Chaptalia cordifolia;-48.816667;-25.25
Citronella engleriana;-48.982222;-25.515278
Curitiba prismatica;-48.982222;-25.515278
Curitiba prismatica;-50.12;-24.737222
Cyrtopodium palmifrons;-54.295553;-24.068886
Dicksonia sellowiana;-49.306111;-25.420556
Dicksonia sellowiana;-49.306111;-25.420556
Dicksonia sellowiana;-49.287778;-26.658333
Dyckia reitzii;-48.982222;-25.515278
Eryngium koehneanum;-48.816667;-25.25
Grammitis fluminensis;-48.982222;-25.515278
Grammitis fluminensis;-48.982222;-25.515278
Grandiphyllum divaricatum;-48.542972;-25.203889
Marchantia berteroana;-49.278611;-25.656667
Marchantia berteroana;-48.978139;-25.495306
Matayba cristae;-48.916111;-25.445556
Mimosa callidryas;-50.12;-24.737222
Mimosa strobiliflora;-49.241667;-25.442222
Myrceugenia gertii;-49.029444;-25.443056
Myrcia rupicola;-48.916111;-25.445556
Ocotea catharinensis;-49;-25.388056
Ocotea catharinensis;-48.705;-24.852222
Ocotea porosa;-49.366667;-25.466667
Ocotea porosa;-48.982222;-25.515278
Ocotea porosa;-50.142222;-24.716111
Ocotea porosa;-49.279106;-25.402967
Pabstiella calcarata;-48.920278;-25.44
